"Year","Month","Value"
1970,2,26.3
1970,3,24.7
1970,4,23.6
1970,5,18.5
1970,6,18.1
1970,7,18.1
1970,8,17.9
1970,9,18.6
1970,10,23.5
1970,11,22.3
1970,12,25.8
1971,1,25.2
1971,2,26.4
1971,3,25.2
1971,4,23.4
1971,5,20.1
1971,6,17.1
1971,7,15.9
1971,8,18.3
1971,9,20.5
1971,10,24.2
1971,11,22.2
1971,12,24.4
1972,1,24.5
1972,2,25.7
1972,3,24.1
1972,4,22.5
1972,5,19.1
1972,6,17.6
1972,7,17.5
1972,8,18.8
1972,9,21.5
1972,10,20.9
1972,11,23
1972,12,27.2
1973,1,26.7
1973,2,26.3
1973,3,25.3
1973,4,24.3
1973,5,21.6
1973,6,17.3
1973,7,18
1973,8,18.1
1973,9,21.6
1973,10,22.5
1973,11,24.5
1973,12,25.9
1974,1,25.5
1974,2,25.6
1974,3,25.2
1974,4,23.4
1974,5,20.2
1974,6,17.4
1974,7,17.5
1974,8,17.6
1974,9,19.4
1974,10,20.9
1974,11,22.1
1974,12,25.3
1975,1,26.2
1975,2,25.9
1975,3,25.5
1975,4,22.1
1975,5,21
1975,6,17.7
1975,7,19
1975,8,18.2
1975,9,20.7
1975,10,22
1975,11,25
1975,12,26.2
1976,1,25
1976,2,26
1976,3,25.2
1976,4,23.2
1976,5,21.3
1976,6,18.4
1976,7,17.4
1976,8,18.3
1976,9,19
1976,10,20.7
1976,11,23.3
1976,12,27.7
1977,1,27.2
1977,2,26.2
1977,3,26.2
1977,4,24.2
1977,5,20.2
1977,6,17.1
1977,7,16.9
1977,8,19.6
1977,9,18.8
1977,10,24.2
1977,11,24.4
1977,12,27.1
1978,1,26.2
1978,2,28.4
1978,3,25.7
1978,4,22.9
1978,5,20.7
1978,6,16.7
1978,7,16.6
1978,8,17.1
1978,9,18.9
1978,10,21.5
1978,11,22.8
1978,12,23.9
1979,1,26.9
1979,2,27.2
1979,3,24.9
1979,4,22.9
1979,5,18.9
1979,6,18.4
1979,7,17.5
1979,8,18
1979,9,19.9
1979,10,22
1979,11,24.1
1979,12,27.9
1980,1,26.9
1980,2,26.9
1980,3,26.3
1980,4,23.8
1980,5,20.7
1980,6,17.9
1980,7,16.7
1980,8,20.2
1980,9,23.3
1980,10,22.4
1980,11,25.1
1980,12,26.3
1981,1,26.3
1981,2,26
1981,3,25.3
1981,4,24
1981,5,20.1
1981,6,17.2
1981,7,17
1981,8,17.6
1981,9,22.1
1981,10,22.6
1981,11,22.1
1981,12,25.4
1982,1,26.4
1982,2,26.7
1982,3,24.7
1982,4,23.2
1982,5,21.5
1982,6,16.7
1982,7,15.8
1982,8,20
1982,9,20
1982,10,21.3
1982,11,24.8
1982,12,25.2
1983,1,26.6
1983,2,27.7
1983,3,26.6
1983,4,21.1
1983,5,20.5
1983,6,16.9
1983,7,16.7
1983,8,18.1
1983,9,21.8
1983,10,21.3
1983,11,23.7
1983,12,25
1984,1,25.6
1984,2,26.8
1984,3,24
1984,4,22.8
1984,5,19.9
1984,6,18.3
1984,7,16.1
1984,8,18.9
1984,9,19.7
1984,10,22
1984,11,24.6
1984,12,25.3
1985,1,26.8
1985,2,24.4
1985,3,25.6
1985,4,22.5
1985,5,19.9
1985,6,17.7
1985,7,17
1985,8,17.7
1985,9,19.7
1985,10,21.6
1985,11,23.5
1985,12,27.4
1986,1,25.9
1986,2,26.2
1986,3,25.5
1986,4,24.8
1986,5,20.8
1986,6,18
1986,7,17.3
1986,8,17.9
1986,9,20.9
1986,10,22.4
1986,11,21.8
1986,12,24.7
1987,1,27
1987,2,26.9
1987,3,24.2
1987,4,22.9
1987,5,20.5
1987,6,18.2
1987,7,16.9
1987,8,18.7
1987,9,21.4
1987,10,21.4
1987,11,24.6
1987,12,24.3
1988,1,26.8
1988,2,25.7
1988,3,25
1988,4,22.5
1988,5,20.9
1988,6,18.5
1988,7,18.7
1988,8,19.3
1988,9,21.8
1988,10,26.2
1988,11,23.4
1988,12,25.4
1989,1,25.4
1989,2,26.3
1989,3,25.2
1989,4,23.1
1989,5,20.5
1989,6,16.7
1989,7,16.3
1989,8,17.3
1989,9,20.9
1989,10,24.2
1989,11,23.6
1989,12,25.3
1990,1,25.5
1990,2,25.4
1990,3,25.3
1990,4,23.1
1990,5,21.3
1990,6,17.4
1990,7,17.3
1990,8,17.5
1990,9,19.4
1990,10,21.9
1990,11,24.5
1990,12,28.6
1991,1,29.1
1991,2,28.2
1991,3,25.6
1991,4,23.1
1991,5,20
1991,6,19.5
1991,7,17
1991,8,18.8
1991,9,21.5
1991,10,23.7
1991,11,23.4
1991,12,24.2
1992,1,25.3
1992,2,25
1992,3,25.4
